KYTREASNOX,MCALDT,TMBIDYTM,TMASKYTM
2000002,2005-02-28,2.7439187729760E+00,2.7337134795179E+00
2000002,2005-03-31,2.7724066601351E+00,2.7621975781351E+00
2000002,2005-04-29,2.8948208426225E+00,2.8846094528658E+00
2000002,2005-05-31,2.9692242781080E+00,2.9590085263279E+00
2000002,2005-06-30,3.0966801849947E+00,3.0864628461001E+00
2000002,2005-07-29,3.3903821285947E+00,3.3801582537456E+00
2000002,2005-08-31,3.4980845719617E+00,3.4878560241683E+00
2000002,2005-09-30,3.5386572846676E+00,3.5284296712315E+00
2000002,2005-10-31,3.9385881596610E+00,3.9283460416016E+00
2000002,2005-11-30,3.9381617812995E+00,3.9279218814873E+00
2000002,2005-12-30,4.0657283679859E+00,4.0554874539909E+00
2000002,2006-01-31,4.4507664061512E+00,4.4405120186775E+00
2000002,2006-02-28,4.6020497505552E+00,4.5917914096979E+00
2000002,2006-03-31,4.5832310895902E+00,4.5729770996639E+00
2000002,2006-04-28,4.7396365684250E+00,4.7293786232595E+00
2000002,2006-05-31,4.8197833609681E+00,4.8095206813567E+00
2000002,2006-06-30,4.9576792636599E+00,4.9474158020046E+00
2000002,2006-07-31,5.0746648576543E+00,5.0541408170401E+00
2000002,2006-08-31,5.0067790505211E+00,4.9862470913619E+00
2000002,2006-09-29,4.8601868633098E+00,4.8499258685832E+00
2000002,2006-10-31,5.0459797630390E+00,5.0357098124635E+00
2000002,2006-11-30,5.0042124981479E+00,4.9939464528812E+00
2000002,2006-12-29,4.9936034250369E+00,4.9833390542142E+00
2000002,2007-01-31,5.0764366671753E+00,5.0661673465029E+00
2000002,2007-02-28,5.1021111318541E+00,5.0918411466029E+00
2000002,2007-03-30,5.0038680556514E+00,4.9936034250369E+00
2000002,2007-04-30,4.8820206316263E+00,4.8717535987588E+00
2000002,2007-05-31,4.6963453820910E+00,4.6860872134968E+00
2000002,2007-06-29,4.7678472555441E+00,4.7575885968139E+00
2000002,2007-07-31,4.9073580997794E+00,4.8970917758668E+00
2000002,2007-08-31,4.1220580178857E+00,4.1118156813977E+00
2000002,2007-09-28,3.7841974173766E+00,3.7739636099231E+00
2000002,2007-10-31,3.8972037677156E+00,3.8869649249679E+00
